,X,Y,sigmaY,sigmaX,rhoXY
0,201.0,592.0,61.0,9.0,-0.84
1,244.0,401.0,25.0,4.0,0.31
2,47.0,583.0,38.0,11.0,0.64
3,287.0,402.0,15.0,7.0,-0.27
4,203.0,495.0,21.0,5.0,-0.33
5,58.0,173.0,15.0,9.0,0.67
6,210.0,479.0,27.0,4.0,-0.02
7,202.0,504.0,14.0,4.0,-0.05
8,198.0,510.0,30.0,11.0,-0.84
9,158.0,416.0,16.0,7.0,-0.69
10,165.0,393.0,14.0,5.0,0.3
11,201.0,442.0,25.0,5.0,-0.46
12,157.0,317.0,52.0,5.0,-0.03
13,131.0,311.0,16.0,6.0,0.5
14,166.0,400.0,34.0,6.0,0.73
15,160.0,337.0,31.0,5.0,-0.52
16,186.0,423.0,42.0,9.0,0.9
17,125.0,334.0,26.0,8.0,0.4
18,218.0,533.0,16.0,6.0,-0.78
19,146.0,344.0,22.0,5.0,-0.56
